evidence_id,request_id,document_type,document_name,document_status,issued_date,received_at,verified_at,verified_by,document_account_token,storage_ref,note
EVD-2608-011,REQ-2608-011,거래처 명의 통장 사본,가상별하부품 통장 사본,사본 확인,2026-08-11 08:00:00,2026-08-11 08:20:00,2026-08-11 09:00:00,U501,ACCT-2608-011-NEW,EDU-DAY1/EVD-2608-011,이미지 없이 등록부 정보만 사용
EVD-2608-012,REQ-2608-012,거래처 담당자 유선 재확인 기록,가상미르운송 유선 재확인 기록,원본대조 확인,2026-08-12 08:00:00,2026-08-12 08:20:00,2026-08-12 09:00:00,U501,ACCT-2608-012-NEW,EDU-DAY1/EVD-2608-012,실제 전화번호 없음
EVD-2608-013,REQ-2608-013,사내 전자결재 승인문서,가상한결기획 전자결재 승인문서,원본대조 확인,2026-08-13 08:00:00,2026-08-13 08:20:00,2026-08-13 09:00:00,U501,ACCT-2608-013-NEW,EDU-DAY1/EVD-2608-013,교육용 메타데이터
EVD-2608-014,REQ-2608-014,ERP 거래처 마스터 변경이력,가상소담인쇄 ERP 변경이력,원본대조 확인,2026-08-14 08:00:00,2026-08-14 08:20:00,2026-08-14 10:10:00,U501,ACCT-2608-014-NEW,EDU-DAY1/EVD-2608-014,교육용 메타데이터
EVD-2608-015,REQ-2608-015,거래처 계좌변경 요청서,가상도담자재 계좌변경 요청서,원본대조 확인,2026-08-15 08:00:00,2026-08-15 08:20:00,2026-08-15 09:00:00,U501,ACCT-2608-015-NEW,EDU-DAY1/EVD-2608-015,교육용 메타데이터
EVD-2608-016,REQ-2608-016,거래처 명의 계좌변경 공문,가상아람식품 계좌변경 공문,원본대조 확인,2026-08-16 08:00:00,2026-08-16 08:20:00,2026-08-16 09:00:00,U501,ACCT-2608-016-NEW,EDU-DAY1/EVD-2608-016,교육용 메타데이터
EVD-2608-017,REQ-2608-017,사업자등록증 사본,가상여울건설 사업자등록증 사본,사본 확인,2026-08-17 08:00:00,2026-08-17 08:20:00,2026-08-17 09:00:00,U501,ACCT-2608-017-NEW,EDU-DAY1/EVD-2608-017,마스킹된 표시값만 사용
EVD-2608-018,REQ-2608-018,거래처 명의 통장 사본,가상초록환경 통장 사본,사본 확인,2026-08-18 08:00:00,2026-08-18 08:20:00,2026-08-18 09:00:00,U501,ACCT-2608-018-NEW,EDU-DAY1/EVD-2608-018,이미지 없이 등록부 정보만 사용
EVD-2608-019,REQ-2608-019,거래처 담당자 유선 재확인 기록,가상나래시스템 유선 재확인 기록,원본대조 확인,2026-08-19 08:00:00,2026-08-19 08:20:00,2026-08-19 09:00:00,U501,ACCT-2608-019-NEW,EDU-DAY1/EVD-2608-019,실제 전화번호 없음
EVD-2608-020,REQ-2608-020,사내 전자결재 승인문서,가상우리상회 전자결재 승인문서,원본대조 확인,2026-08-20 08:00:00,2026-08-20 08:20:00,2026-08-20 09:00:00,U501,ACCT-2608-020-NEW,EDU-DAY1/EVD-2608-020,교육용 메타데이터
EVD-2608-021,REQ-2608-021,ERP 거래처 마스터 변경이력,가상하람기공 ERP 변경이력,원본대조 확인,2026-08-21 08:00:00,2026-08-21 08:20:00,2026-08-21 10:10:00,U501,ACCT-2608-021-NEW,EDU-DAY1/EVD-2608-021,교육용 메타데이터
EVD-2608-022,REQ-2608-022,거래처 계좌변경 요청서,가상바른기술 계좌변경 요청서,추가 확인,2026-08-22 08:00:00,2026-08-22 08:20:00,2026-08-22 11:20:00,U501,ACCT-2608-022-NEW,EDU-DAY1/EVD-2608-022,사후 승인 사유 추가 확인
EVD-2608-023,REQ-2608-023,사내 전자결재 승인문서,가상푸른물류 전자결재 승인문서,미수취,2026-08-23 08:00:00,,,,ACCT-2608-023-NEW,EDU-DAY1/EVD-2608-023,승인 기록과 승인문서 모두 미수취
EVD-2608-024,REQ-2608-024,사업자등록증 사본,가상참빛상사 사업자등록증 사본,사본 확인,2026-08-24 08:00:00,2026-08-24 08:20:00,2026-08-24 09:00:00,U501,ACCT-2608-024-NEW,EDU-DAY1/EVD-2608-024,업무 미분리와 별도인 참고정보
EVD-2608-025,REQ-2608-025,거래처 명의 통장 사본,가상늘봄산업 통장 사본,사본 확인,2026-08-25 08:00:00,2026-08-25 08:20:00,2026-08-25 09:00:00,U501,ACCT-2608-025-NEW,EDU-DAY1/EVD-2608-025,업무 미분리와 별도인 참고정보
EVD-2608-026,REQ-2608-026,거래처 담당자 유선 재확인 기록,가상한울유통 유선 재확인 기록,추가 확인,2026-08-26 08:00:00,2026-08-26 08:20:00,2026-08-26 10:20:00,U501,ACCT-2608-026-NEW,EDU-DAY1/EVD-2608-026,ERP 계좌 불일치 재확인 필요
EVD-2608-027,REQ-2608-027,거래처 명의 계좌변경 공문,가상두레설비 계좌변경 공문,추가 확인,2026-08-27 08:00:00,2026-08-27 08:20:00,2026-08-27 10:20:00,U501,ACCT-2608-027-NEW,EDU-DAY1/EVD-2608-027,ERP 계좌 불일치 재확인 필요
EVD-2608-028,REQ-2608-028,거래처 담당자 유선 재확인 기록,가상미소렌탈 유선 재확인 기록,미수취,2026-08-28 08:00:00,,,,ACCT-2608-028-NEW,EDU-DAY1/EVD-2608-028,사후 승인과 업무 미분리 관련 추가 증빙 미수취
EVD-2608-029,REQ-2608-029,ERP 거래처 마스터 변경이력,가상아침테크 ERP 변경이력,추가 확인,2026-08-29 08:00:00,2026-08-29 08:20:00,2026-08-29 12:20:00,U501,ACCT-2608-029-NEW,EDU-DAY1/EVD-2608-029,사후 승인과 ERP 계좌 불일치 재확인 필요
